Time [s],Channel 0
0.000000000,0
3.192037560,1
3.192091920,0
3.192096120,1
3.192128240,0
3.192296800,1
3.192320600,0
3.192332840,1
3.192512160,0
3.192570720,1
3.192597360,0
3.192608280,1
3.192664840,0
3.192669160,1
3.192688800,0
3.192865360,1
3.192897000,0
3.192904240,1
3.192949400,0
3.283636400,1
3.283780800,0
3.283788680,1
3.283934000,0
3.284010440,1
3.286942200,0
3.290283480,1
3.293702880,0
3.296280920,1
3.296450800,0
3.296465360,1
3.296634360,0
3.296648920,1
3.296817960,0
3.296832680,1
3.297001560,0
3.297409200,1
3.297551520,0
3.297561360,1
3.297704680,0
3.297782720,1
3.300712520,0
3.304059600,1
3.304200680,0
3.304211680,1
3.304353800,0
3.304432680,1
3.307361640,0
3.320531720,1
3.320674760,0
3.320683960,1
3.320827920,0
3.320905480,1
3.323836040,0
3.327178360,1
3.330614560,0
3.333186120,1
3.333345040,0
3.333368200,1
3.333528600,0
3.333551320,1
3.333712160,0
3.333735120,1
3.333895760,0
3.334304480,1
3.334445800,0
3.334456600,1
3.334599000,0
3.334677680,1
3.337606880,0
3.340954520,1
3.341095520,0
3.341106560,1
3.341248680,0
3.341327600,1
3.344256520,0
3.570510720,1
3.570830160,0
3.570886320,1
3.573857320,0
3.577161880,1
3.577310880,0
3.577314360,1
3.577464040,0
3.577536600,1
3.580473000,0
3.583154200,1
3.583328040,0
3.583339160,1
3.583511600,0
3.583522680,1
3.583695160,0
3.583706320,1
3.583878760,0
3.584285320,1
3.584429000,0
3.584437520,1
3.584582160,0
3.584659200,1
3.587590280,0
3.590936200,1
3.591077120,0
3.591088280,1
3.591230320,0
3.591309280,1
3.594238200,0
3.820494280,1
3.820640320,0
3.820646640,1
3.820793480,0
3.820868640,1
3.823801800,0
3.827141720,1
3.830580080,0
3.834266440,1
3.834412280,0
3.834418760,1
3.834565440,0
3.834640720,1
3.837573800,0
3.840916920,1
3.841060560,0
3.841069120,1
3.841213720,0
3.841290760,1
3.844221880,0
4.070475080,1
4.070779680,0
4.070850040,1
4.073788640,0
4.077123440,1
4.080559200,0
4.083123800,1
4.083290480,0
4.083307840,1
4.083474040,0
4.083491400,1
4.083657640,0
4.083674880,1
4.083841200,0
4.084247400,1
4.084396760,0
4.084399920,1
4.084549960,0
4.084622200,1
4.087558840,0
4.090897880,1
4.091044200,0
4.091050200,1
4.091197440,0
4.091272200,1
4.094205880,0
4.320457240,1
4.320605520,0
4.320609680,1
4.320758680,0
4.320831880,1
4.323767960,0
4.327105120,1
4.330538440,0
4.333130640,1
4.333271520,0
4.333305480,1
4.333455080,0
4.333490080,1
4.333638680,0
4.333673680,1
4.333822240,0
4.334228680,1
4.334535000,0
4.334603760,1
4.337544280,0
4.340879040,1
4.341027760,0
4.341031520,1
4.341180920,0
4.341253760,1
4.344189520,0
4.570437000,1
4.573870800,0
4.577088120,1
4.577393040,0
4.577463240,1
4.580402240,0
4.582182080,1
4.582371320,0
4.582407920,1
4.582604120,0
4.582640240,1
4.582836840,0
4.582875040,1
4.583069640,0
4.583082280,1
4.583255080,0
4.583265120,1
4.583438640,0
4.583448760,1
4.583622240,0
4.583632400,1
4.583805840,0
4.584210480,1
4.584516360,0
4.584585480,1
4.587525720,0
4.589753040,1
4.589903160,0
4.589931400,1
4.590086720,0
4.590115320,1
4.590270320,0
4.590298320,1
4.590453920,0
4.590861800,1
4.591006080,0
4.591014040,1
