Time [s],Channel 0
0.000000000,0
3.877610400,1
4.078455760,0
4.128823600,1
4.218869720,0
4.248741800,1
4.278854440,0
4.278854560,1
4.278854600,0
4.308758640,1
4.338850000,0
4.429136160,1
4.458966240,0
4.549115280,1
4.639069920,0
4.699146560,1
4.788975000,0
4.819140280,1
4.849083960,0
4.849084040,1
4.849084120,0
4.969133560,1
4.998970760,0
5.029038720,1
5.029038760,0
5.029038800,1
5.119104520,0
5.179009320,1
5.209087600,0
5.298983240,1
5.328854840,0
5.328854920,1
5.328855000,0
5.358742960,1
5.358743000,0
5.358743040,1
5.358743080,0
5.358743120,1
5.388844960,0
5.539026920,1
5.629067160,0
5.659031560,1
5.659031600,0
5.659031640,1
5.659031680,0
5.659031720,1
5.689068000,0
5.779094840,1
5.839096840,0
5.869014720,1
5.988958680,0
6.049099240,1
6.139088880,0
6.169114600,1
6.229054760,0
6.319109320,1
6.378962360,0
6.409004680,1
6.438971240,0
6.438971320,1
6.438971400,0
6.589009080,1
6.619053280,0
6.649083320,1
6.649083360,0
6.649083400,1
6.679046720,0
6.709083520,1
6.769044520,0
6.799103760,1
6.858983040,0
6.979145880,1
7.008982160,0
7.099119320,1
7.129080120,0
7.129080240,1
7.129080280,0
7.159091080,1
7.189051680,0
7.279083760,1
7.339056200,0
9.341849092,0
