Time [s],Channel 0
0.000000000,0
5.485742320,1
5.553264120,0
5.585276960,1
5.612263920,0
5.645277840,1
5.672771440,0
5.766137840,1
5.792736400,0
5.885673160,1
5.972533320,0
6.036035920,1
6.122718560,0
6.155968000,1
6.182363520,0
6.306585040,1
6.332565600,0
6.366493840,1
6.366552520,0
6.366563000,1
6.452906520,0
6.516182920,1
6.632929920,0
6.786243240,1
6.786290880,0
6.786309600,1
6.812677360,0
6.905952320,1
6.906010680,0
6.906022600,1
6.962588600,0
6.995219280,1
6.995273440,0
6.995282440,1
7.022333240,0
7.116016200,1
7.116075320,0
7.116086480,1
7.172544960,0
7.205343720,1
7.205370240,0
7.205379200,1
7.322849360,0
7.386115800,1
7.472199520,0
7.505386440,1
7.505414400,0
7.505439720,1
7.562627960,0
7.656144560,1
7.656194320,0
7.656212640,1
7.712808280,0
7.745184680,1
7.745228000,0
7.745248360,1
7.772626520,0
7.926053560,1
7.926087560,0
7.926113800,1
7.953004440,0
7.986408920,1
7.986436320,0
7.986468800,1
8.012548440,0
8.045926800,1
8.045963440,0
8.045990040,1
8.102654240,0
8.135714640,1
8.135753080,0
8.135773560,1
8.192585040,0
8.316480600,1
8.316512280,0
8.316538760,1
8.342775480,0
8.435554200,1
8.462338440,0
8.496340160,1
8.522564840,0
8.555596160,1
8.612591680,0
8.645784600,1
8.645821520,0
8.645840280,1
8.732785520,0
10.075852292,0
