Time [s],Channel 0
0.000000000,0
7.926194400,1
7.991309880,0
8.024231880,1
8.050973640,0
8.084167560,1
8.110952360,0
8.205337680,1
8.230795440,0
8.324864160,1
8.411140880,0
8.475010320,1
8.562043440,0
8.624796000,1
8.651263280,0
8.745439040,1
8.770799520,0
8.803923120,1
8.891465720,0
8.924593520,1
8.951118160,0
8.984453160,1
9.011077840,0
9.105073080,1
9.130794720,0
9.194034480,1
9.251385120,0
9.314250720,1
9.371368040,0
9.404290160,1
9.431736640,0
9.525296120,1
9.580927320,0
9.614145520,1
9.731106640,0
9.794277640,1
9.881223720,0
9.914045200,1
9.970804720,0
10.064912920,1
10.121751160,0
10.154362200,1
10.181286800,0
10.335404360,1
10.361208720,0
10.394217280,1
10.421065640,0
10.454021600,1
10.511814240,0
10.545253040,1
10.601107160,0
10.724427760,1
10.750986880,0
10.844539920,1
10.870904720,0
10.934349880,1
10.960821120,0
11.054482560,1
11.081912280,0
11.114332280,1
11.141137160,0
14.179596292,0
