Time [s],Channel 0
0.000000000,0
5.092460880,1
5.186655520,0
5.186655760,1
5.186655800,0
5.210317280,1
5.244821800,0
5.244822040,1
5.244822080,0
5.269735520,1
5.304825120,0
5.304825360,1
5.304825400,0
5.390716720,1
5.424385680,0
5.424385880,1
5.424385960,0
5.509549480,1
5.605131280,0
5.605131520,1
5.605131560,0
5.659999800,1
5.755111960,0
5.755112120,1
5.755112240,0
5.810299880,1
5.844871480,0
5.844871680,1
5.844871760,0
5.932293520,1
5.964892120,0
5.989836480,1
6.084771560,0
6.084771760,1
6.084771800,0
6.110212080,1
6.144371880,0
6.169627040,1
6.264726480,0
6.264726640,1
6.264726720,0
6.320208400,1
6.414913720,0
6.414913960,1
6.414914000,0
6.500454880,1
6.564969360,0
6.589860520,1
6.624853120,0
6.710432560,1
6.774627440,0
6.774627640,1
6.774627720,0
6.799773280,1
6.924913840,0
6.924914080,1
6.924914120,0
6.980131640,1
7.074451800,0
7.074452000,1
7.074452080,0
7.099523600,1
7.164298040,0
7.164298200,1
7.164298320,0
7.250144080,1
7.314796520,0
7.314796760,1
7.314796800,0
7.339933560,1
7.374863920,0
7.374864160,1
7.374864200,0
7.521081000,1
7.554981880,0
7.554982080,1
7.554982160,0
7.579685720,1
7.614963640,0
7.614963800,1
7.614963920,0
7.640264080,1
7.704904520,0
7.704904680,1
7.704904760,0
7.729723080,1
7.794800760,0
7.794800960,1
7.794801040,0
7.911831680,1
7.944541280,0
7.944541480,1
7.944541520,0
8.030394440,1
8.065057760,0
8.065058000,1
8.065058040,0
8.150490840,1
8.184530360,0
8.184530520,1
8.184530640,0
8.330685280,1
8.365288240,0
8.365288480,1
8.365288520,0
10.943308292,0
