Time [s],Channel 0
0.000000000,0
1.511983080,1
1.596402800,0
1.629471080,1
1.656102120,0
1.689338280,1
1.716350680,0
1.810535360,1
1.836062680,0
1.929817160,1
2.016901960,0
2.079474480,1
2.166970480,0
2.230024120,1
2.256093080,0
2.410388760,1
2.436082360,0
2.469456120,1
2.496440360,0
2.560366680,1
2.586658560,0
2.619689120,1
2.646178640,0
2.679843840,1
2.736628920,0
2.859324160,1
2.886502560,0
2.949787840,1
3.006529160,0
3.039776480,1
3.066157880,0
3.160236000,1
3.216604120,0
3.249946240,1
3.337211760,0
3.430394040,1
3.516875000,0
3.549736440,1
3.607146640,0
3.699994400,1
3.756594160,0
3.789809280,1
3.816088040,0
3.971311840,1
3.996038360,0
4.030293320,1
4.056169880,0
4.089648680,1
4.146626400,0
4.179347000,1
4.237552800,0
4.360524280,1
4.386441920,0
4.480632840,1
4.506568760,0
4.539358760,1
4.566355400,0
4.630132560,1
4.686798960,0
6.672748292,0
