Time [s],Channel 0
0.000000000,0
0.751143560,1
0.751326760,0
1.538233360,1
1.635146360,0
1.658148160,1
1.695076160,0
1.718211320,1
1.755074160,0
1.836203000,1
1.874031080,0
1.957046840,1
2.053142640,0
2.106124800,1
2.203080400,0
2.258225160,1
2.295073800,0
2.377140920,1
2.415106160,0
2.436958240,1
2.474073960,0
2.501228080,1
2.534151400,0
2.558269560,1
2.685209600,0
2.738188600,1
2.864169000,0
2.946173560,1
3.013205560,0
3.037126280,1
3.073025440,0
3.157215880,1
3.224224760,0
3.248155200,1
3.344158520,0
3.427176000,1
3.525101640,0
3.547173680,1
3.615101120,0
3.697138640,1
3.763064800,0
3.787139160,1
3.823094320,0
3.967518880,1
4.004031360,0
4.027099280,1
4.027099320,0
4.027099360,1
4.063065280,0
4.085797600,1
4.154071160,0
4.176062440,1
4.244058240,0
4.357104040,1
4.395079040,0
4.478204160,1
4.514062840,0
4.537989040,1
4.635032520,0
4.657882440,1
4.657882480,0
4.657882520,1
4.724061920,0
4.748276320,1
4.783068400,0
6.839564292,0
