Time [s],Channel 0
0.000000000,0
1.901153000,1
2.117721200,0
2.167859760,1
2.267745360,0
2.301206360,1
2.317643280,0
2.351215120,1
2.384433360,0
2.467903640,1
2.501124920,0
2.601250000,1
2.684480520,0
2.751272440,1
2.867853200,0
3.017989360,1
3.067876760,0
3.101349240,1
3.167872520,0
3.201346040,1
3.217793320,0
3.251360400,1
3.284578280,0
3.318040800,1
3.434601680,0
3.468055280,1
3.501160560,0
3.518074040,1
3.551293800,0
3.618083760,1
3.667962040,0
3.701436760,1
3.734658320,0
3.818120720,1
3.884668600,0
3.918131640,1
4.001358080,0
4.101478920,1
4.184727360,0
4.218170160,1
4.268071000,0
4.368185240,1
4.418092080,0
4.451543920,1
4.484765520,0
4.634885840,1
4.667968560,0
4.701574680,1
4.718009680,0
4.751587200,1
4.818137360,0
4.851605560,1
4.901475960,0
5.018305000,1
5.051501320,0
5.151658160,1
5.168058240,0
5.201658040,1
5.301554320,0
5.318339160,1
5.351560760,0
5.385017680,1
5.451579920,0
7.773753092,0
