Time [s],Channel 0
0.000000000,0
4.360928800,1
4.461162520,0
4.477603800,1
4.511167680,0
4.544279160,1
4.577839480,0
4.660962360,1
4.694520400,0
4.777646440,1
4.877888760,0
4.927669160,1
5.061253440,0
5.211045080,1
5.227851640,0
5.361071760,1
5.377882160,0
5.411077560,1
5.561323200,0
5.711116440,1
5.811362480,0
5.861138960,1
5.928044200,0
5.961150480,1
5.977982920,0
6.077838080,1
6.128067280,0
6.161172280,1
6.278096120,0
6.344541320,1
6.428115600,0
6.461228360,1
6.528137360,0
6.611260760,1
6.678166800,0
6.711281400,1
6.728105440,0
6.877985840,1
6.911522560,0
6.944663680,1
6.978205440,0
7.011343160,1
7.061551280,0
7.094695120,1
7.161567960,0
7.278067520,1
7.311592440,0
7.394766040,1
7.428267360,0
7.461438840,1
7.478206480,0
7.611476440,1
7.628222880,0
9.308485892,0
