Time [s],Channel 0
0.000000000,0
3.577623240,1
3.694436400,0
3.710959240,1
3.761110840,0
3.777632320,1
3.811125400,0
3.877655600,1
3.927796640,0
3.994332320,1
4.094479920,0
4.144357280,1
4.294525920,0
4.411070160,1
4.444545480,0
4.544417240,1
4.611226000,0
4.661108280,1
4.777944640,0
4.794472320,1
4.827952160,0
4.861129000,1
4.894523480,0
4.977813960,1
5.061296400,0
5.077827680,1
5.111314960,0
5.194518640,1
5.261320600,0
5.277857640,1
5.428026320,0
5.477886480,1
5.594721880,0
5.611229000,1
5.678060200,0
5.761239400,1
5.828069840,0
5.844602000,1
5.894755720,0
6.011290280,1
6.044787200,0
6.061301920,1
6.111457680,0
6.127977320,1
6.194817720,0
6.227986080,1
6.294830480,0
6.394696160,1
6.428171800,0
6.494712120,1
6.528175200,0
6.611397680,1
6.644857200,0
6.761429640,1
6.794875680,0
9.675487492,0
