Time [s],Channel 0
0.000000000,0
4.980660200,1
5.080891720,0
5.114010000,1
5.147565680,0
5.180687520,1
5.214244720,0
5.314050320,1
5.347601960,0
5.447404880,1
5.547638040,0
5.614096920,1
5.747679200,0
5.914151160,1
5.947697120,0
6.080840560,1
6.114387000,0
6.180852120,1
6.347766920,0
6.480910760,1
6.480952560,0
6.480965960,1
6.547805760,0
6.614263400,1
6.681168320,0
6.714286600,1
6.747850440,0
6.847646480,1
6.914541600,0
6.947667400,1
7.081245200,0
7.147694000,1
7.247942480,0
7.281064800,1
7.347952880,0
7.447761920,1
7.514635680,0
7.547778240,1
7.581305000,0
7.747813720,1
7.781328080,0
7.814492800,1
7.848003120,0
7.881167240,1
7.948016720,0
7.981192800,1
8.048033440,0
8.181235680,1
8.214713680,0
8.314601960,1
8.348067320,0
8.414622160,1
8.481427120,0
8.547975280,1
8.581427400,0
8.614657800,1
8.648110280,0
9.948257320,1
10.048304920,0
10.081611360,1
10.114975240,0
10.148285320,1
10.164884680,0
10.281648560,1
10.314996280,0
10.415004800,1
10.515028520,0
10.581701840,1
10.715062840,0
10.881755320,1
10.915075200,0
11.048460920,1
11.081775920,0
11.148477760,1
11.315156440,0
11.381848640,1
11.415158520,0
11.581879120,1
11.681873960,0
11.715237880,1
11.748539480,0
11.848596640,1
11.915180520,0
11.915195320,1
11.915230400,0
11.948611000,1
12.081922160,0
12.148650600,1
12.248613320,0
12.282001160,1
12.348630320,0
12.448703600,1
12.515318360,0
12.548715720,1
12.581996120,0
12.748760440,1
12.782020080,0
12.815429880,1
12.848693280,0
12.882102440,1
12.948713640,0
12.982124240,1
13.048735240,0
13.182161240,1
13.215416280,0
13.315523240,1
13.348771840,0
13.382194080,1
13.415451000,0
13.515552960,1
13.582150400,0
14.982479000,1
15.082370600,0
15.099154400,1
15.149048920,0
15.182513600,1
15.198953160,0
15.299201200,1
15.349069320,0
15.449227000,1
15.549102920,0
15.599248920,1
15.749136920,0
15.915973720,1
15.949151040,0
16.082675080,1
16.099060960,0
16.166022160,1
16.349226960,0
16.399401560,1
16.465910320,0
16.499419240,1
16.549254760,0
16.599441840,1
16.665941240,0
16.716125480,1
16.749277080,0
16.849486720,1
16.915984680,0
16.949510640,1
17.066005800,0
17.149546400,1
17.249363720,0
17.266221120,1
17.349378640,0
17.449590960,1
17.499391240,0
17.549601840,1
17.565955600,0
17.732972480,1
17.766092720,0
17.799651120,1
17.849442640,0
17.866319320,1
17.932794360,0
17.966339960,1
18.049485320,0
18.166383440,1
18.199498360,0
18.316408080,1
18.332732200,0
18.366416160,1
18.432883720,0
18.466435520,1
18.532898720,0
18.566457200,1
18.599564480,0
21.119263492,0
