Time [s],Channel 0
0.000000000,0
1.189654560,1
1.189679000,0
1.189700480,1
1.308076280,0
1.339592560,1
1.374733560,0
1.406266600,1
1.441403680,0
1.539591000,1
1.539614360,0
1.539633680,1
1.539657040,0
1.539677600,1
1.591421640,0
1.689672440,1
1.791507640,0
1.856349840,1
1.991527960,0
2.156399160,1
2.191550280,0
2.356452800,1
2.391596240,0
2.456456480,1
2.624962440,0
2.656488400,1
2.724964040,0
2.756500280,1
2.791626360,0
2.889846960,1
2.958333600,0
2.989861120,1
3.024998200,0
3.139891600,1
3.208384320,0
3.239910720,1
3.375090760,0
3.439954680,1
3.541778840,0
3.573283680,1
3.641805360,0
3.739971800,1
3.808475680,0
3.840014000,1
3.875186080,0
4.040054960,1
4.075198960,0
4.106724520,1
4.141873800,0
4.173413720,1
4.241877200,0
4.273388640,1
4.273420320,0
4.273445560,1
4.341910320,0
4.473461720,1
4.508572880,0
4.606814720,1
4.658618240,0
4.690162000,1
4.725278600,0
4.756831800,1
4.791955440,0
4.823518600,1
4.858642600,0
4.923542080,1
4.958653080,0
6.839564292,0
