Time [s],Channel 0
0.000000000,0
5.399816520,1
5.400040800,0
5.404066400,1
5.404193280,0
5.570743520,1
5.570879240,0
5.574994680,1
5.575032360,0
5.833194920,1
5.833232800,0
5.833259160,1
5.833437040,0
5.837467600,1
5.837590720,0
5.841728840,1
5.841755320,0
5.966657840,1
5.966778600,0
6.233391800,1
6.233481480,0
6.316711920,1
6.316833440,0
6.650165880,1
6.650206400,0
6.716857760,1
6.716893040,0
6.866888240,1
6.866915120,0
6.889781600,1
6.889823400,0
6.950221840,1
6.950267720,0
7.066882080,1
7.066960800,0
7.166873880,1
7.166976040,0
7.223223400,1
7.223247480,0
7.350236080,1
7.350335680,0
7.466885720,1
7.467023840,0
7.616924680,1
7.616960120,0
7.616991120,1
7.617037160,0
7.700321040,1
7.700381360,0
7.883740000,1
7.883761960,0
8.100427280,1
8.100452320,0
10.643039492,0
