Time [s],Channel 0
0.000000000,0
2.140275360,1
2.140277360,0
2.244269120,1
2.244436480,0
2.244457040,1
2.244626160,0
2.244646200,1
2.244815840,0
2.244835800,1
2.245005480,0
2.267583480,1
2.267617960,0
2.268062960,1
2.268063840,0
2.281099240,1
2.281266760,0
2.281286720,1
2.281456440,0
2.281475840,1
2.281646040,0
2.281665720,1
2.281835760,0
2.531089520,1
2.531248280,0
2.531274920,1
2.531437960,0
2.531463680,1
2.531627560,0
2.531653840,1
2.531817280,0
2.781064760,1
2.781230200,0
2.781252240,1
2.781419880,0
2.781440640,1
2.781609520,0
2.781630760,1
2.781799200,0
3.031048640,1
3.031211920,0
3.031235160,1
3.031401600,0
3.031423880,1
3.031591200,0
3.031614000,1
3.031780920,0
3.281071040,1
3.281152760,0
3.281178600,1
3.281193560,0
3.281254040,1
3.281383000,0
3.281439360,1
3.281510800,0
3.281535840,1
3.281572600,0
3.281635440,1
3.281671800,0
3.281696440,1
3.281762320,0
3.531308520,1
3.531354720,0
3.531453440,1
3.531486640,0
3.531687040,1
3.531718120,0
3.781022360,1
3.781156840,0
3.781206080,1
3.781346560,0
3.781390920,1
3.781536200,0
3.781584280,1
3.781652800,0
3.781674200,1
3.781725920,0
4.031051240,1
4.031087760,0
4.031138680,1
4.031138880,0
4.031225920,1
4.031260760,0
4.031285280,1
4.031328360,0
4.031403880,1
4.031447280,0
4.031482840,1
4.031510800,0
4.031582840,1
4.031621200,0
4.031667600,1
4.031707600,0
4.280987040,1
4.281120440,0
4.281166600,1
4.281310080,0
4.281357880,1
4.281499760,0
4.281544760,1
4.281689400,0
4.780928520,1
4.781084120,0
4.781115480,1
4.781273840,0
4.781303480,1
4.781463440,0
4.781493080,1
4.781653120,0
5.030918440,1
5.031066000,0
5.031101280,1
5.031255680,0
5.031293000,1
5.031445320,0
5.031481280,1
5.031635000,0
5.530889360,1
5.531029480,0
5.531074920,1
5.531219200,0
5.531264440,1
5.531408800,0
5.531456640,1
5.531598440,0
6.120124760,1
6.204057880,0
6.237638640,1
6.270974560,0
6.306726800,1
6.337486280,0
6.337486440,1
6.337486520,0
6.422171640,1
6.454835680,0
6.454835800,1
6.454835880,0
6.537603120,1
6.637871440,0
6.687999520,1
6.721408400,0
6.837272600,1
6.871328840,0
7.021881560,1
7.088298760,0
7.138204320,1
7.170966400,0
7.237717560,1
7.387962240,0
7.387962360,1
7.387962480,0
7.437682480,1
7.470891360,0
7.504620240,1
7.540934920,0
7.588499480,1
7.656541720,0
7.688705800,1
7.704203440,0
7.806532680,1
7.854487680,0
7.888297880,1
8.004481400,0
8.071639120,1
8.154575760,0
8.188089440,1
8.254454160,0
8.337688240,1
8.487890000,0
8.555519040,1
8.587598280,0
8.671090840,1
8.704446360,0
8.738458200,1
8.790937640,0
8.825034880,1
8.854344360,0
8.887970520,1
8.937834640,0
9.004190520,1
9.037263960,0
9.037264120,1
9.037264200,0
9.121563360,1
9.204435000,0
9.271777560,1
9.304733240,0
9.340396560,1
9.353984920,0
9.388409720,1
9.421354200,0
14.112869892,0
